trade_id,order_id,event_time,instrument,side,quantity,price,account_id,client_id,venue
T-0000000,O-0000000,2026-08-25T09:30:00Z,NOVA.L,BUY,5000,42.0028,A-104,CLIENT-LINKED,XLON
T-0000001,O-0000001,2026-08-25T09:30:00.850000Z,NOVA.L,SELL,5001,41.9925,A-882,CLIENT-LINKED,XLON
T-0000002,O-0000002,2026-08-25T09:30:01.700000Z,NOVA.L,BUY,5002,41.9995,A-104,CLIENT-LINKED,XLON
T-0000003,O-0000003,2026-08-25T09:30:02.550000Z,NOVA.L,SELL,5003,42.0005,A-882,CLIENT-LINKED,XLON
T-0000004,O-0000004,2026-08-25T09:30:03.400000Z,LIQD.P,BUY,4219,42.0115,A-204,CLIENT-4,XLON
T-0000005,O-0000005,2026-08-25T09:30:04.250000Z,NOVA.L,SELL,6033,42.0017,A-205,CLIENT-5,XLON
T-0000006,O-0000006,2026-08-25T09:30:05.100000Z,ALTO.N,BUY,5528,42.0026,A-206,CLIENT-6,XLON
T-0000007,O-0000007,2026-08-25T09:30:05.950000Z,QUAD.N,SELL,4183,42.0084,A-207,CLIENT-7,XLON
T-0000008,O-0000008,2026-08-25T09:30:06.800000Z,MEGA.O,BUY,5869,42.018,A-208,CLIENT-8,XLON
T-0000009,O-0000009,2026-08-25T09:30:07.650000Z,LIQD.P,SELL,6098,42.012,A-209,CLIENT-9,XLON
T-0000010,O-0000010,2026-08-25T09:30:08.500000Z,NOVA.L,BUY,5000,42.023,A-104,CLIENT-LINKED,XLON
T-0000011,O-0000011,2026-08-25T09:30:09.350000Z,NOVA.L,SELL,5001,42.0229,A-882,CLIENT-LINKED,XLON
T-0000012,O-0000012,2026-08-25T09:30:10.200000Z,NOVA.L,BUY,5002,42.0184,A-104,CLIENT-LINKED,XLON
T-0000013,O-0000013,2026-08-25T09:30:11.050000Z,NOVA.L,SELL,5003,42.0278,A-882,CLIENT-LINKED,XLON
T-0000014,O-0000014,2026-08-25T09:30:11.900000Z,LIQD.P,BUY,3826,42.0332,A-214,CLIENT-14,XLON
T-0000015,O-0000015,2026-08-25T09:30:12.750000Z,NOVA.L,SELL,4453,42.034,A-215,CLIENT-15,XLON
T-0000016,O-0000016,2026-08-25T09:30:13.600000Z,ALTO.N,BUY,5193,42.0276,A-216,CLIENT-16,XLON
T-0000017,O-0000017,2026-08-25T09:30:14.450000Z,QUAD.N,SELL,4681,42.0431,A-217,CLIENT-17,XLON
T-0000018,O-0000018,2026-08-25T09:30:15.300000Z,MEGA.O,BUY,5178,42.028,A-218,CLIENT-18,XLON
T-0000019,O-0000019,2026-08-25T09:30:16.150000Z,LIQD.P,SELL,5356,42.0299,A-219,CLIENT-19,XLON
T-0000020,O-0000020,2026-08-25T09:30:17Z,NOVA.L,BUY,5000,42.0469,A-104,CLIENT-LINKED,XLON
T-0000021,O-0000021,2026-08-25T09:30:17.850000Z,NOVA.L,SELL,5001,42.0441,A-882,CLIENT-LINKED,XLON
T-0000022,O-0000022,2026-08-25T09:30:18.700000Z,NOVA.L,BUY,5002,42.0501,A-104,CLIENT-LINKED,XLON
T-0000023,O-0000023,2026-08-25T09:30:19.550000Z,NOVA.L,SELL,5003,42.0506,A-882,CLIENT-LINKED,XLON
T-0000024,O-0000024,2026-08-25T09:30:20.400000Z,LIQD.P,BUY,5996,42.0405,A-224,CLIENT-24,XLON
T-0000025,O-0000025,2026-08-25T09:30:21.250000Z,NOVA.L,SELL,5350,42.0416,A-225,CLIENT-25,XLON
T-0000026,O-0000026,2026-08-25T09:30:22.100000Z,ALTO.N,BUY,5000,42.0586,A-226,CLIENT-26,XLON
T-0000027,O-0000027,2026-08-25T09:30:22.950000Z,QUAD.N,SELL,6333,42.0617,A-227,CLIENT-27,XLON
T-0000028,O-0000028,2026-08-25T09:30:23.800000Z,MEGA.O,BUY,5281,42.0575,A-228,CLIENT-28,XLON
T-0000029,O-0000029,2026-08-25T09:30:24.650000Z,LIQD.P,SELL,6685,42.0494,A-229,CLIENT-29,XLON
T-0000030,O-0000030,2026-08-25T09:30:25.500000Z,NOVA.L,BUY,5000,42.0632,A-104,CLIENT-LINKED,XLON
T-0000031,O-0000031,2026-08-25T09:30:26.350000Z,NOVA.L,SELL,5001,42.0675,A-882,CLIENT-LINKED,XLON
T-0000032,O-0000032,2026-08-25T09:30:27.200000Z,NOVA.L,BUY,5002,42.0737,A-104,CLIENT-LINKED,XLON
T-0000033,O-0000033,2026-08-25T09:30:28.050000Z,NOVA.L,SELL,5003,42.0731,A-882,CLIENT-LINKED,XLON
T-0000034,O-0000034,2026-08-25T09:30:28.900000Z,LIQD.P,BUY,4213,42.0656,A-234,CLIENT-34,XLON
T-0000035,O-0000035,2026-08-25T09:30:29.750000Z,NOVA.L,SELL,5657,42.0727,A-235,CLIENT-35,XLON
T-0000036,O-0000036,2026-08-25T09:30:30.600000Z,ALTO.N,BUY,5294,42.0653,A-236,CLIENT-36,XLON
T-0000037,O-0000037,2026-08-25T09:30:31.450000Z,QUAD.N,SELL,5255,42.0682,A-237,CLIENT-37,XLON
T-0000038,O-0000038,2026-08-25T09:30:32.300000Z,MEGA.O,BUY,4893,42.08,A-238,CLIENT-38,XLON
T-0000039,O-0000039,2026-08-25T09:30:33.150000Z,LIQD.P,SELL,6599,42.081,A-239,CLIENT-39,XLON
T-0000040,O-0000040,2026-08-25T09:30:34Z,NOVA.L,BUY,5000,42.0822,A-104,CLIENT-LINKED,XLON
T-0000041,O-0000041,2026-08-25T09:30:34.850000Z,NOVA.L,SELL,5001,42.0754,A-882,CLIENT-LINKED,XLON
T-0000042,O-0000042,2026-08-25T09:30:35.700000Z,NOVA.L,BUY,5002,42.0886,A-104,CLIENT-LINKED,XLON
T-0000043,O-0000043,2026-08-25T09:30:36.550000Z,NOVA.L,SELL,5003,42.0793,A-882,CLIENT-LINKED,XLON
